Supplementary data file  3: Differentially expressed genes,,,,,,,,,
Ensembl Gene ID,Gene Symbol,logFC,"95% Confidence Interval, lower bound","95% Confidence Interval,upper bound",Average Expression (pre-adjusted logCPM),t statistic,p-value,FDR estimate,B coefficient
ENSG00000110660,SLC35F2,1.19E-01,5.72E-02,1.81E-01,2.891,3.776,1.76E-04,1.58E-02,0.62593
ENSG00000104522,TSTA3,-1.22E-01,-1.86E-01,-5.86E-02,3.452,-3.775,1.77E-04,1.58E-02,0.6072798
ENSG00000142634,EFHD2,-1.18E-01,-1.79E-01,-5.64E-02,5.507,-3.769,1.81E-04,1.61E-02,0.5023088
ENSG00000173406,DAB1,1.20E-01,5.76E-02,1.83E-01,3.84,3.769,1.81E-04,1.61E-02,0.5685044
ENSG00000168939,SPRY3,1.26E-01,6.04E-02,1.92E-01,3.789,3.767,1.82E-04,1.61E-02,0.5652751
ENSG00000017427,IGF1,1.70E-01,8.13E-02,2.59E-01,3.526,3.762,1.86E-04,1.63E-02,0.5575807
ENSG00000215021,PHB2,-9.52E-02,-1.45E-01,-4.55E-02,5.491,-3.76,1.87E-04,1.63E-02,0.4722413
ENSG00000197713,RPE,8.18E-02,3.91E-02,1.25E-01,5.355,3.759,1.88E-04,1.63E-02,0.4692542
ENSG00000141441,FAM59A,1.01E-01,4.80E-02,1.53E-01,5.29,3.758,1.89E-04,1.63E-02,0.4672653
ENSG00000205309,NT5M,-1.42E-01,-2.16E-01,-6.76E-02,2.658,-3.756,1.90E-04,1.63E-02,0.5611856
ENSG00000119812,FAM98A,1.07E-01,5.09E-02,1.62E-01,4.951,3.756,1.90E-04,1.63E-02,0.4721651
ENSG00000161281,COX7A1,-2.41E-01,-3.66E-01,-1.15E-01,4.277,-3.753,1.92E-04,1.64E-02,0.4977282
ENSG00000158806,NPM2,-1.26E-01,-1.92E-01,-6.00E-02,5.242,-3.748,1.96E-04,1.66E-02,0.4400704
ENSG00000132561,MATN2,1.28E-01,6.09E-02,1.95E-01,4.292,3.746,1.98E-04,1.67E-02,0.4654149
ENSG00000151233,GXYLT1,9.86E-02,4.69E-02,1.50E-01,4.764,3.743,2.00E-04,1.67E-02,0.4346586
ENSG00000167614,TTYH1,-1.46E-01,-2.23E-01,-6.91E-02,6.986,-3.73,2.10E-04,1.75E-02,0.3451471
ENSG00000254615,.,1.40E-01,6.59E-02,2.13E-01,3.358,3.725,2.14E-04,1.77E-02,0.4372818
ENSG00000012061,ERCC1,-7.99E-02,-1.22E-01,-3.78E-02,4.871,-3.725,2.15E-04,1.77E-02,0.3687476
ENSG00000072415,MPP5,6.73E-02,3.17E-02,1.03E-01,6.935,3.717,2.22E-04,1.82E-02,0.2969729
ENSG00000165795,NDRG2,-1.37E-01,-2.10E-01,-6.48E-02,8.561,-3.714,2.24E-04,1.83E-02,0.2936611
ENSG00000147231,CXorf57,1.11E-01,5.23E-02,1.70E-01,3.741,3.708,2.29E-04,1.86E-02,0.3618489
ENSG00000127564,PKMYT1,-1.88E-01,-2.87E-01,-8.81E-02,6.15E-02,-3.701,2.36E-04,1.91E-02,0.2254772
