genes,MAPPED_genes,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000164403,SHROOM1,-6.72E-03,-4.48E-02,3.13E-02,2.954,-3.47E-01,7.29E-01,9.15E-01,-6.15097
ENSG00000182749,PAQR7,7.69E-03,-3.58E-02,5.12E-02,2.364,3.47E-01,7.29E-01,9.15E-01,-6.01693
ENSG00000165246,NLGN4Y,-1.02E-02,-6.79E-02,4.75E-02,2.554,-3.47E-01,7.29E-01,9.16E-01,-6.43167
ENSG00000186496,ZNF396,-7.99E-03,-5.33E-02,3.73E-02,2.538,-3.47E-01,7.29E-01,9.16E-01,-6.04963
ENSG00000133065,SLC41A1,5.11E-03,-2.39E-02,3.41E-02,5.105,3.47E-01,7.29E-01,9.16E-01,-6.55659
ENSG00000117395,EBNA1BP2,4.31E-03,-2.01E-02,2.87E-02,5.443,3.47E-01,7.29E-01,9.16E-01,-6.59632
ENSG00000134108,ARL8B,-3.59E-03,-2.39E-02,1.68E-02,8.049,-3.46E-01,7.29E-01,9.16E-01,-6.77688
ENSG00000175324,LSM1,-5.38E-03,-3.59E-02,2.51E-02,4.112,-3.46E-01,7.29E-01,9.16E-01,-6.3999
ENSG00000110324,IL10RA,1.18E-02,-5.52E-02,7.88E-02,2.519,3.46E-01,7.29E-01,9.16E-01,-6.05487
ENSG00000117525,F3,-1.36E-02,-9.10E-02,6.38E-02,6.24,-3.46E-01,7.29E-01,9.16E-01,-6.68245
ENSG00000159917,ZNF235,5.73E-03,-2.68E-02,3.83E-02,3.915,3.46E-01,7.29E-01,9.16E-01,-6.35558
ENSG00000159884,CCDC107,1.12E-02,-5.22E-02,7.46E-02,1.541,3.46E-01,7.29E-01,9.16E-01,-5.82815
ENSG00000136940,PDCL,4.60E-03,-2.15E-02,3.07E-02,5.281,3.46E-01,7.30E-01,9.16E-01,-6.58619
ENSG00000117385,LEPRE1,6.25E-03,-2.93E-02,4.18E-02,2.783,3.46E-01,7.30E-01,9.16E-01,-6.10337
ENSG00000168005,C11orf84,7.03E-03,-3.29E-02,4.70E-02,2.931,3.46E-01,7.30E-01,9.16E-01,-6.14541
