genes,MAPPED_genes,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000107518,ATRNL1,-7.36E-02,-1.12E-01,-3.52E-02,1.11E+01,-3.764,1.85E-04,1.41E-02,0.02937
ENSG00000196586,MYO6,-4.18E-02,-6.37E-02,-2.00E-02,7.055,-3.76,1.88E-04,1.43E-02,0.11049
ENSG00000183779,ZNF703,-1.14E-01,-1.73E-01,-5.44E-02,1.675,-3.758,1.89E-04,1.43E-02,0.56708
ENSG00000253304,TMEM200B,-1.72E-01,-2.62E-01,-8.21E-02,5.10E-01,-3.755,1.91E-04,1.44E-02,0.48019
ENSG00000143858,SYT2,-2.04E-01,-3.11E-01,-9.74E-02,4.846,-3.755,1.91E-04,1.44E-02,0.26737
ENSG00000184270,HIST2H2AB,1.28E-01,6.10E-02,1.95E-01,2.907,3.754,1.92E-04,1.44E-02,0.48081
ENSG00000166963,MAP1A,-7.29E-02,-1.11E-01,-3.47E-02,1.02E+01,-3.753,1.93E-04,1.44E-02,0.00148
ENSG00000114529,C3orf52,1.80E-01,8.56E-02,2.74E-01,5.25E-01,3.751,1.94E-04,1.44E-02,0.46103
ENSG00000121361,KCNJ8,-9.77E-02,-1.49E-01,-4.65E-02,2.943,-3.749,1.96E-04,1.45E-02,0.4646
ENSG00000185518,SV2B,-4.54E-02,-6.92E-02,-2.15E-02,9.676,-3.731,2.10E-04,1.54E-02,-0.06768
ENSG00000105251,SHD,-1.43E-01,-2.18E-01,-6.75E-02,2.058,-3.73,2.11E-04,1.54E-02,0.46335
ENSG00000261254,.,-7.11E-02,-1.09E-01,-3.37E-02,2.787,-3.729,2.12E-04,1.54E-02,0.41328
ENSG00000165970,SLC6A5,-1.76E-01,-2.68E-01,-8.31E-02,1.42E-01,-3.727,2.14E-04,1.55E-02,0.3214
ENSG00000175352,NRIP3,6.71E-02,3.17E-02,1.03E-01,6.438,3.722,2.17E-04,1.56E-02,0.01326
ENSG00000168081,PNOC,1.79E-01,8.43E-02,2.73E-01,1.171,3.72,2.19E-04,1.56E-02,0.436
ENSG00000053438,NNAT,1.16E-01,5.46E-02,1.77E-01,4.177,3.72,2.20E-04,1.56E-02,0.21716
ENSG00000154930,ACSS1,-1.09E-01,-1.67E-01,-5.15E-02,5.123,-3.719,2.20E-04,1.56E-02,0.11131
ENSG00000237517,DGCR5,-9.30E-02,-1.42E-01,-4.39E-02,6.072,-3.719,2.20E-04,1.56E-02,0.02481
ENSG00000105737,GRIK5,-6.27E-02,-9.58E-02,-2.96E-02,4.428,-3.718,2.22E-04,1.56E-02,0.1799
ENSG00000173064,HECTD4,-3.86E-02,-5.90E-02,-1.82E-02,8.156,-3.713,2.26E-04,1.58E-02,-0.09638
ENSG00000165507,C10orf10,-1.98E-01,-3.03E-01,-9.32E-02,3.702,-3.706,2.32E-04,1.62E-02,0.21983
ENSG00000169271,HSPB3,1.35E-01,6.35E-02,2.07E-01,2.026,3.705,2.32E-04,1.62E-02,0.37049
ENSG00000129675,ARHGEF6,-5.22E-02,-7.99E-02,-2.45E-02,5.714,-3.702,2.36E-04,1.63E-02,-0.01732
ENSG00000164611,PTTG1,1.11E-01,5.22E-02,1.70E-01,1.909,3.701,2.36E-04,1.63E-02,0.36707
ENSG00000172986,GXYLT2,9.19E-02,4.31E-02,1.41E-01,2.788,3.699,2.38E-04,1.63E-02,0.30788
ENSG00000181104,F2R,1.32E-01,6.16E-02,2.01E-01,1.981,3.694,2.43E-04,1.66E-02,0.34362
ENSG00000141141,DDX52,-3.67E-02,-5.62E-02,-1.71E-02,5.366,-3.686,2.50E-04,1.71E-02,-0.04191
ENSG00000257176,.,1.18E-01,5.53E-02,1.82E-01,1.364,3.683,2.53E-04,1.71E-02,0.31048
ENSG00000246273,SBF2-AS1,-7.97E-02,-1.22E-01,-3.72E-02,2.512,-3.683,2.53E-04,1.71E-02,0.27727
ENSG00000185033,SEMA4B,-8.08E-02,-1.24E-01,-3.77E-02,3.636,-3.682,2.54E-04,1.71E-02,0.15294
ENSG00000187260,WDR86,1.36E-01,6.33E-02,2.08E-01,1.892,3.681,2.55E-04,1.71E-02,0.3001
ENSG00000174485,DENND4A,-3.04E-02,-4.67E-02,-1.42E-02,7.348,-3.678,2.58E-04,1.71E-02,-0.19471
ENSG00000047648,ARHGAP6,1.03E-01,4.79E-02,1.58E-01,2.189,3.678,2.58E-04,1.71E-02,0.28255
ENSG00000151229,SLC2A13,5.03E-02,2.34E-02,7.72E-02,8.378,3.667,2.69E-04,1.78E-02,-0.26679
ENSG00000072954,TMEM38A,-6.79E-02,-1.04E-01,-3.15E-02,4.977,-3.667,2.69E-04,1.78E-02,-0.0631
ENSG00000145362,ANK2,-3.23E-02,-4.96E-02,-1.50E-02,1.06E+01,-3.665,2.71E-04,1.78E-02,-0.31967
ENSG00000080345,RIF1,-3.50E-02,-5.37E-02,-1.62E-02,8.078,-3.664,2.72E-04,1.78E-02,-0.2706
ENSG00000198858,R3HDM4,6.26E-02,2.90E-02,9.62E-02,3.332,3.661,2.75E-04,1.79E-02,0.11609
ENSG00000187984,ANKRD19P,9.20E-02,4.26E-02,1.41E-01,2.583,3.659,2.77E-04,1.80E-02,0.1922
ENSG00000138821,SLC39A8,-9.09E-02,-1.40E-01,-4.19E-02,4.495,-3.645,2.92E-04,1.89E-02,-0.0893
ENSG00000049283,EPN3,-1.92E-01,-2.96E-01,-8.86E-02,6.26E-01,-3.644,2.94E-04,1.89E-02,0.13085
ENSG00000095637,SORBS1,-4.77E-02,-7.35E-02,-2.20E-02,8.068,-3.642,2.96E-04,1.90E-02,-0.34759
ENSG00000161082,CELF5,5.76E-02,2.64E-02,8.87E-02,5.515,3.632,3.07E-04,1.96E-02,-0.24011
ENSG00000121207,LRAT,1.76E-01,8.09E-02,2.72E-01,1.642,3.632,3.08E-04,1.96E-02,0.14352
ENSG00000123143,PKN1,5.30E-02,2.42E-02,8.18E-02,4.938,3.613,3.30E-04,2.09E-02,-0.25093
ENSG00000198198,SZT2,-4.10E-02,-6.33E-02,-1.87E-02,4.983,-3.612,3.32E-04,2.10E-02,-0.25491
ENSG00000144227,NXPH2,1.15E-01,5.25E-02,1.78E-01,1.671,3.601,3.45E-04,2.17E-02,0.03722
ENSG00000153820,SPHKAP,8.99E-02,4.08E-02,1.39E-01,5.683,3.601,3.46E-04,2.17E-02,-0.36471
ENSG00000179314,WSCD1,6.82E-02,3.10E-02,1.05E-01,4.801,3.599,3.48E-04,2.17E-02,-0.28159
ENSG00000106771,TMEM245,-3.89E-02,-6.01E-02,-1.76E-02,7.952,-3.596,3.53E-04,2.19E-02,-0.50608
ENSG00000174482,LINGO2,6.41E-02,2.91E-02,9.90E-02,4.557,3.595,3.53E-04,2.19E-02,-0.2685
ENSG00000122484,RPAP2,-3.96E-02,-6.13E-02,-1.80E-02,5.826,-3.594,3.55E-04,2.19E-02,-0.40462
ENSG00000243232,PCDHAC2,4.44E-02,2.01E-02,6.87E-02,5.112,3.593,3.56E-04,2.19E-02,-0.3383
ENSG00000170946,DNAJC24,4.42E-02,2.00E-02,6.83E-02,4.558,3.589,3.61E-04,2.21E-02,-0.29398
ENSG00000170456,DENND5B,-3.57E-02,-5.52E-02,-1.62E-02,7.295,-3.588,3.63E-04,2.21E-02,-0.51051
ENSG00000100442,FKBP3,-5.06E-02,-7.83E-02,-2.29E-02,6.237,-3.587,3.64E-04,2.21E-02,-0.45845
ENSG00000138688,KIAA1109,-3.89E-02,-6.02E-02,-1.76E-02,9.288,-3.587,3.64E-04,2.21E-02,-0.57072
ENSG00000102901,CENPT,4.93E-02,2.23E-02,7.63E-02,4.243,3.584,3.68E-04,2.22E-02,-0.2645
ENSG00000110013,SIAE,-4.88E-02,-7.55E-02,-2.20E-02,5.61,-3.583,3.69E-04,2.22E-02,-0.41894
ENSG00000162929,KIAA1841,-5.05E-02,-7.82E-02,-2.28E-02,5.918,-3.577,3.78E-04,2.25E-02,-0.47059
ENSG00000142166,IFNAR1,-3.50E-02,-5.42E-02,-1.58E-02,6.756,-3.577,3.78E-04,2.25E-02,-0.52516
ENSG00000167281,RBFOX3,-6.47E-02,-1.00E-01,-2.92E-02,5.181,-3.576,3.79E-04,2.25E-02,-0.39908
ENSG00000177301,KCNA2,-5.97E-02,-9.25E-02,-2.68E-02,6.755,-3.569,3.90E-04,2.31E-02,-0.54901
ENSG00000169282,KCNAB1,5.23E-02,2.35E-02,8.10E-02,6.294,3.568,3.91E-04,2.31E-02,-0.52691
ENSG00000105221,AKT2,3.64E-02,1.64E-02,5.65E-02,5.312,3.565,3.95E-04,2.32E-02,-0.45129
ENSG00000087266,SH3BP2,-1.01E-01,-1.56E-01,-4.52E-02,4.033,-3.565,3.96E-04,2.32E-02,-0.30642
ENSG00000198053,SIRPA,-4.55E-02,-7.06E-02,-2.04E-02,7.291,-3.556,4.09E-04,2.38E-02,-0.61823
ENSG00000168538,TRAPPC11,-3.03E-02,-4.70E-02,-1.36E-02,6.62,-3.556,4.09E-04,2.38E-02,-0.58943
ENSG00000152932,RAB3C,6.31E-02,2.82E-02,9.80E-02,8.621,3.551,4.17E-04,2.42E-02,-0.67877
ENSG00000198039,ZNF273,-6.45E-02,-1.00E-01,-2.88E-02,5.316,-3.55,4.19E-04,2.42E-02,-0.51085
ENSG00000100320,RBFOX2,3.59E-02,1.60E-02,5.59E-02,8.136,3.545,4.26E-04,2.46E-02,-0.687
ENSG00000188315,C3orf62,-6.58E-02,-1.02E-01,-2.93E-02,2.735,-3.542,4.30E-04,2.47E-02,-0.21208
ENSG00000173208,ABCD2,-6.43E-02,-1.00E-01,-2.86E-02,6.171,-3.542,4.31E-04,2.47E-02,-0.60858
ENSG00000178177,LCORL,4.72E-02,2.10E-02,7.33E-02,5.03,3.54,4.34E-04,2.47E-02,-0.5166
ENSG00000173406,DAB1,6.61E-02,2.94E-02,1.03E-01,3.84,3.538,4.36E-04,2.48E-02,-0.36969
ENSG00000188763,FZD9,1.22E-01,5.41E-02,1.89E-01,1.283,3.537,4.39E-04,2.48E-02,-0.16312
ENSG00000145920,CPLX2,-7.29E-02,-1.13E-01,-3.24E-02,8.916,-3.536,4.40E-04,2.48E-02,-0.73512
ENSG00000117600,.,5.18E-02,2.30E-02,8.05E-02,7.451,3.534,4.44E-04,2.50E-02,-0.7005
ENSG00000113805,CNTN3,5.75E-02,2.55E-02,8.95E-02,5.913,3.528,4.53E-04,2.54E-02,-0.63782
ENSG00000257957,QRSL1P3,1.29E-01,5.71E-02,2.01E-01,5.72E-01,3.526,4.56E-04,2.55E-02,-0.23481
ENSG00000170153,RNF150,5.51E-02,2.44E-02,8.58E-02,5.197,3.522,4.63E-04,2.58E-02,-0.59144
ENSG00000135241,PNPLA8,-4.08E-02,-6.36E-02,-1.80E-02,7.461,-3.515,4.75E-04,2.63E-02,-0.76499
ENSG00000170634,ACYP2,-6.31E-02,-9.83E-02,-2.78E-02,4.929,-3.515,4.75E-04,2.63E-02,-0.58455
ENSG00000169116,PARM1,5.76E-02,2.54E-02,8.98E-02,7.226,3.51,4.85E-04,2.67E-02,-0.77463
ENSG00000181790,BAI1,-5.99E-02,-9.34E-02,-2.64E-02,5.197,-3.507,4.89E-04,2.68E-02,-0.63363
ENSG00000099331,MYO9B,7.51E-02,3.31E-02,1.17E-01,5.1,3.507,4.90E-04,2.68E-02,-0.62821
ENSG00000144285,SCN1A,-6.87E-02,-1.07E-01,-3.02E-02,8.366,-3.502,4.98E-04,2.72E-02,-0.83715
ENSG00000149557,FEZ1,-4.18E-02,-6.53E-02,-1.83E-02,7.959,-3.499,5.04E-04,2.74E-02,-0.83699
ENSG00000104154,SLC30A4,-4.44E-02,-6.94E-02,-1.94E-02,6.165,-3.491,5.20E-04,2.82E-02,-0.78243
ENSG00000072609,CHFR,4.60E-02,2.01E-02,7.18E-02,4.322,3.489,5.24E-04,2.83E-02,-0.59839
ENSG00000115761,NOL10,-3.71E-02,-5.80E-02,-1.62E-02,5.078,-3.485,5.31E-04,2.86E-02,-0.70581
ENSG00000168672,FAM84B,7.91E-02,3.45E-02,1.24E-01,4.285,3.483,5.35E-04,2.87E-02,-0.62115
ENSG00000111530,CAND1,-2.82E-02,-4.42E-02,-1.23E-02,8.796,-3.48,5.42E-04,2.89E-02,-0.92606
ENSG00000115896,PLCL1,-5.06E-02,-7.91E-02,-2.20E-02,6.712,-3.479,5.43E-04,2.89E-02,-0.85701
ENSG00000139631,CSAD,6.36E-02,2.77E-02,9.95E-02,3.189,3.478,5.45E-04,2.90E-02,-0.47909
ENSG00000021776,AQR,-3.04E-02,-4.76E-02,-1.32E-02,6.415,-3.475,5.51E-04,2.92E-02,-0.8536
ENSG00000145014,TMEM44,9.39E-02,4.08E-02,1.47E-01,2.017,3.473,5.56E-04,2.93E-02,-0.38205
ENSG00000123240,OPTN,-3.64E-02,-5.70E-02,-1.58E-02,7.664,-3.472,5.56E-04,2.93E-02,-0.91676
ENSG00000185105,MYADML2,-1.49E-01,-2.34E-01,-6.47E-02,1.725,-3.468,5.65E-04,2.96E-02,-0.38779
ENSG00000124177,CHD6,-2.81E-02,-4.40E-02,-1.22E-02,7.577,-3.463,5.76E-04,3.01E-02,-0.94722
ENSG00000164068,RNF123,-4.22E-02,-6.61E-02,-1.82E-02,4.787,-3.462,5.77E-04,3.01E-02,-0.74088
ENSG00000172380,GNG12,6.66E-02,2.88E-02,1.04E-01,5.748,3.46,5.82E-04,3.03E-02,-0.85741
ENSG00000139697,SBNO1,-3.28E-02,-5.15E-02,-1.42E-02,7.608,-3.453,5.98E-04,3.08E-02,-0.98255
ENSG00000128917,DLL4,-1.75E-01,-2.74E-01,-7.54E-02,1.41,-3.452,5.99E-04,3.08E-02,-0.42895
ENSG00000130653,PNPLA7,-1.07E-01,-1.67E-01,-4.60E-02,3.348,-3.452,5.99E-04,3.08E-02,-0.58618
ENSG00000267107,.,-2.34E-01,-3.67E-01,-1.01E-01,8.06E-01,-3.451,6.01E-04,3.08E-02,-0.44613
ENSG00000168939,SPRY3,6.79E-02,2.92E-02,1.07E-01,3.789,3.444,6.16E-04,3.15E-02,-0.67385
ENSG00000071575,TRIB2,8.09E-02,3.47E-02,1.27E-01,5.392,3.443,6.19E-04,3.15E-02,-0.87414
ENSG00000167191,GPRC5B,-6.07E-02,-9.53E-02,-2.61E-02,7.902,-3.443,6.19E-04,3.15E-02,-1.02437
ENSG00000128606,LRRC17,-1.26E-01,-1.98E-01,-5.42E-02,1.342,-3.442,6.21E-04,3.15E-02,-0.45916
ENSG00000103126,AXIN1,4.76E-02,2.04E-02,7.47E-02,4.258,3.439,6.28E-04,3.17E-02,-0.75468
ENSG00000149658,YTHDF1,-5.48E-02,-8.61E-02,-2.35E-02,4.828,-3.438,6.30E-04,3.17E-02,-0.83375
ENSG00000138768,USO1,-3.52E-02,-5.54E-02,-1.51E-02,6.757,-3.437,6.33E-04,3.18E-02,-0.99895
ENSG00000124225,PMEPA1,7.45E-02,3.19E-02,1.17E-01,5.173,3.436,6.34E-04,3.18E-02,-0.87724
ENSG00000079432,CIC,-6.12E-02,-9.62E-02,-2.62E-02,5.134,-3.435,6.37E-04,3.18E-02,-0.87102
ENSG00000075151,EIF4G3,-3.24E-02,-5.10E-02,-1.39E-02,7.774,-3.434,6.40E-04,3.18E-02,-1.05055
ENSG00000132142,ACACA,-3.87E-02,-6.08E-02,-1.65E-02,7.645,-3.432,6.43E-04,3.19E-02,-1.04999
ENSG00000237818,RPS3AP29,-1.52E-01,-2.39E-01,-6.50E-02,4.64E-01,-3.43,6.47E-04,3.19E-02,-0.52055
ENSG00000169604,ANTXR1,-8.24E-02,-1.30E-01,-3.52E-02,4.905,-3.43,6.48E-04,3.19E-02,-0.86445
ENSG00000170289,CNGB3,-1.97E-01,-3.11E-01,-8.41E-02,1.81E-01,-3.422,6.66E-04,3.28E-02,-0.58677
ENSG00000143507,DUSP10,8.31E-02,3.54E-02,1.31E-01,3.054,3.42,6.72E-04,3.29E-02,-0.65988
ENSG00000232043,.,9.69E-02,4.12E-02,1.53E-01,1.173,3.417,6.79E-04,3.32E-02,-0.5363
ENSG00000107537,PHYH,-6.58E-02,-1.04E-01,-2.80E-02,4.289,-3.416,6.82E-04,3.32E-02,-0.83654
ENSG00000132016,C19orf57,9.33E-02,3.96E-02,1.47E-01,1.011,3.41,6.97E-04,3.38E-02,-0.56268
ENSG00000197530,MIB2,4.03E-02,1.71E-02,6.35E-02,5.382,3.409,7.00E-04,3.39E-02,-0.98395
ENSG00000138675,FGF5,-8.48E-02,-1.34E-01,-3.59E-02,2.458,-3.406,7.07E-04,3.41E-02,-0.63147
ENSG00000157087,ATP2B2,-5.96E-02,-9.39E-02,-2.52E-02,8.726,-3.406,7.08E-04,3.41E-02,-1.16999
ENSG00000151835,SACS,-3.69E-02,-5.82E-02,-1.56E-02,9.1,-3.405,7.10E-04,3.41E-02,-1.18321
ENSG00000151617,EDNRA,-9.79E-02,-1.54E-01,-4.14E-02,2.132,-3.404,7.13E-04,3.41E-02,-0.61212
ENSG00000165868,HSPA12A,-3.55E-02,-5.61E-02,-1.50E-02,7.871,-3.402,7.18E-04,3.42E-02,-1.15904
ENSG00000106415,GLCCI1,-6.07E-02,-9.57E-02,-2.56E-02,6.115,-3.4,7.21E-04,3.42E-02,-1.07982
ENSG00000121210,KIAA0922,6.95E-02,2.94E-02,1.10E-01,3.114,3.4,7.21E-04,3.42E-02,-0.72178
ENSG00000067955,CBFB,5.37E-02,2.27E-02,8.48E-02,4.921,3.395,7.35E-04,3.48E-02,-0.98955
ENSG00000143226,FCGR2A,1.22E-01,5.15E-02,1.93E-01,2.777,3.393,7.40E-04,3.49E-02,-0.72261
ENSG00000178814,OPLAH,-8.58E-02,-1.35E-01,-3.61E-02,2.627,-3.39,7.50E-04,3.53E-02,-0.70374
ENSG00000152078,TMEM56,-4.87E-02,-7.69E-02,-2.05E-02,7.232,-3.389,7.52E-04,3.53E-02,-1.18077
ENSG00000047457,CP,2.30E-01,9.66E-02,3.63E-01,4.08,3.387,7.58E-04,3.55E-02,-0.91528
ENSG00000150337,FCGR1A,1.88E-01,7.86E-02,2.98E-01,1.914,3.375,7.89E-04,3.68E-02,-0.70242
ENSG00000008869,HEATR5B,-2.88E-02,-4.56E-02,-1.20E-02,6.875,-3.374,7.94E-04,3.69E-02,-1.21221
ENSG00000203485,INF2,-7.31E-02,-1.16E-01,-3.05E-02,5.658,-3.372,7.97E-04,3.70E-02,-1.12968
ENSG00000164076,CAMKV,4.87E-02,2.03E-02,7.70E-02,7.39,3.371,8.01E-04,3.70E-02,-1.24109
ENSG00000143786,CNIH3,5.93E-02,2.47E-02,9.39E-02,4.578,3.37,8.03E-04,3.70E-02,-1.02153
ENSG00000150394,CDH8,4.74E-02,1.98E-02,7.50E-02,6.454,3.369,8.08E-04,3.72E-02,-1.20296
ENSG00000196660,SLC30A10,8.07E-02,3.37E-02,1.28E-01,3.49,3.368,8.10E-04,3.72E-02,-0.88338
ENSG00000180592,SKIDA1,-7.05E-02,-1.12E-01,-2.93E-02,3.058,-3.362,8.27E-04,3.78E-02,-0.83836
ENSG00000141179,PCTP,6.48E-02,2.69E-02,1.03E-01,2.908,3.362,8.28E-04,3.78E-02,-0.82279
ENSG00000198626,RYR2,-4.81E-02,-7.63E-02,-1.99E-02,8.994,-3.347,8.71E-04,3.96E-02,-1.36913
ENSG00000163655,GMPS,-3.80E-02,-6.03E-02,-1.57E-02,6.649,-3.346,8.75E-04,3.97E-02,-1.29233
ENSG00000147421,HMBOX1,-3.60E-02,-5.72E-02,-1.49E-02,5.822,-3.344,8.80E-04,3.98E-02,-1.2395
ENSG00000161647,MPP3,7.70E-02,3.17E-02,1.22E-01,2.429,3.338,8.99E-04,4.06E-02,-0.84
ENSG00000114480,GBE1,-5.53E-02,-8.79E-02,-2.27E-02,4.367,-3.334,9.12E-04,4.10E-02,-1.11385
ENSG00000036672,USP2,-8.17E-02,-1.30E-01,-3.35E-02,3.311,-3.331,9.23E-04,4.14E-02,-0.97122
ENSG00000125967,NECAB3,-5.62E-02,-8.93E-02,-2.30E-02,4.966,-3.329,9.28E-04,4.15E-02,-1.19661
ENSG00000115694,STK25,2.88E-02,1.18E-02,4.58E-02,6.404,3.328,9.32E-04,4.16E-02,-1.33007
ENSG00000143771,CNIH4,-3.67E-02,-5.83E-02,-1.50E-02,5.249,-3.324,9.47E-04,4.22E-02,-1.25408
ENSG00000215897,ZBTB8B,1.23E-01,5.02E-02,1.96E-01,1.109,3.321,9.56E-04,4.25E-02,-0.82652
ENSG00000183908,LRRC55,-1.17E-01,-1.86E-01,-4.77E-02,3.196,-3.316,9.72E-04,4.30E-02,-1.00268
ENSG00000157554,ERG,-9.79E-02,-1.56E-01,-3.99E-02,1.711,-3.314,9.81E-04,4.32E-02,-0.86219
ENSG00000175216,CKAP5,-2.97E-02,-4.72E-02,-1.21E-02,7.947,-3.313,9.83E-04,4.32E-02,-1.45127
ENSG00000151612,ZNF827,3.73E-02,1.52E-02,5.94E-02,5.28,3.313,9.84E-04,4.32E-02,-1.29132
ENSG00000145725,PPIP5K2,-3.13E-02,-4.99E-02,-1.27E-02,6.702,-3.312,9.87E-04,4.32E-02,-1.40515
ENSG00000100884,CPNE6,7.33E-02,2.98E-02,1.17E-01,4.938,3.311,9.90E-04,4.32E-02,-1.2546
ENSG00000149527,PLCH2,7.99E-02,3.25E-02,1.27E-01,5.102,3.311,9.91E-04,4.32E-02,-1.26989
ENSG00000124772,CPNE5,-6.38E-02,-1.02E-01,-2.59E-02,4.671,-3.304,1.01E-03,4.40E-02,-1.24197
ENSG00000166887,VPS39,-3.73E-02,-5.95E-02,-1.51E-02,6.183,-3.304,1.02E-03,4.40E-02,-1.39828
ENSG00000263219,RYKP1,-9.77E-02,-1.56E-01,-3.96E-02,8.13E-01,-3.303,1.02E-03,4.40E-02,-0.88435
ENSG00000170471,RALGAPB,-2.87E-02,-4.58E-02,-1.16E-02,6.832,-3.299,1.03E-03,4.45E-02,-1.4543
ENSG00000152465,NMT2,-4.21E-02,-6.72E-02,-1.70E-02,5.278,-3.298,1.03E-03,4.45E-02,-1.3351
ENSG00000075340,ADD2,3.50E-02,1.41E-02,5.58E-02,7.266,3.295,1.05E-03,4.49E-02,-1.4835
ENSG00000117069,ST6GALNAC5,5.45E-02,2.20E-02,8.70E-02,5.982,3.293,1.05E-03,4.49E-02,-1.41402
ENSG00000134909,ARHGAP32,-4.54E-02,-7.24E-02,-1.83E-02,8.503,-3.293,1.06E-03,4.49E-02,-1.53187
ENSG00000173692,PSMD1,-4.07E-02,-6.49E-02,-1.64E-02,7.211,-3.293,1.06E-03,4.49E-02,-1.48788
ENSG00000128059,PPAT,4.23E-02,1.70E-02,6.75E-02,5.228,3.291,1.06E-03,4.50E-02,-1.35578
ENSG00000186020,ZNF529,3.23E-02,1.30E-02,5.16E-02,6.063,3.29,1.06E-03,4.50E-02,-1.43447
ENSG00000101557,USP14,-4.03E-02,-6.44E-02,-1.62E-02,6.967,-3.288,1.07E-03,4.52E-02,-1.4935
ENSG00000183662,FAM19A1,6.39E-02,2.57E-02,1.02E-01,4.99,3.287,1.08E-03,4.53E-02,-1.33844
ENSG00000185261,KIAA0825,-4.10E-02,-6.55E-02,-1.65E-02,5.201,-3.286,1.08E-03,4.54E-02,-1.36898
ENSG00000114209,PDCD10,-3.57E-02,-5.71E-02,-1.44E-02,5.513,-3.284,1.09E-03,4.55E-02,-1.40464
ENSG00000197535,MYO5A,-3.83E-02,-6.11E-02,-1.54E-02,9.794,-3.283,1.09E-03,4.56E-02,-1.5934
ENSG00000165548,TMEM63C,-6.28E-02,-1.00E-01,-2.52E-02,4.108,-3.283,1.09E-03,4.56E-02,-1.23446
ENSG00000172458,IL17D,-5.03E-02,-8.04E-02,-2.02E-02,5.584,-3.281,1.10E-03,4.56E-02,-1.42132
ENSG00000103591,AAGAB,-3.43E-02,-5.48E-02,-1.38E-02,6.218,-3.281,1.10E-03,4.56E-02,-1.46988
ENSG00000171724,VAT1L,9.29E-02,3.72E-02,1.49E-01,5.159,3.278,1.11E-03,4.60E-02,-1.38744
ENSG00000142920,ADC,4.65E-02,1.87E-02,7.44E-02,4.434,3.277,1.11E-03,4.60E-02,-1.29951
ENSG00000156076,WIF1,2.09E-01,8.36E-02,3.34E-01,4.938,3.275,1.12E-03,4.62E-02,-1.36671
ENSG00000258185,.,1.23E-01,4.93E-02,1.97E-01,6.69E-01,3.274,1.13E-03,4.62E-02,-0.97188
ENSG00000213516,RBMXL1,4.26E-02,1.70E-02,6.81E-02,5.366,3.274,1.13E-03,4.62E-02,-1.4266
ENSG00000164023,SGMS2,6.55E-02,2.62E-02,1.05E-01,3.035,3.272,1.13E-03,4.62E-02,-1.12128
ENSG00000153015,CWC27,-5.18E-02,-8.30E-02,-2.07E-02,4.782,-3.272,1.13E-03,4.62E-02,-1.36582
ENSG00000134900,TPP2,-3.44E-02,-5.50E-02,-1.37E-02,6.314,-3.271,1.14E-03,4.63E-02,-1.51205
ENSG00000136205,TNS3,-8.05E-02,-1.29E-01,-3.22E-02,6.487,-3.27,1.14E-03,4.64E-02,-1.52219
ENSG00000251396,.,1.39E-01,5.56E-02,2.23E-01,8.25E-01,3.269,1.15E-03,4.64E-02,-0.98258
ENSG00000119912,IDE,-3.20E-02,-5.12E-02,-1.27E-02,5.534,-3.263,1.17E-03,4.72E-02,-1.47527
ENSG00000186174,BCL9L,-7.25E-02,-1.16E-01,-2.87E-02,2.676,-3.254,1.21E-03,4.85E-02,-1.12695
ENSG00000135472,FAIM2,-4.71E-02,-7.56E-02,-1.87E-02,8.372,-3.253,1.21E-03,4.85E-02,-1.6537
ENSG00000230333,.,1.30E-01,5.14E-02,2.08E-01,4.18E-01,3.253,1.21E-03,4.85E-02,-1.04451
ENSG00000156140,ADAMTS3,8.03E-02,3.18E-02,1.29E-01,3.944,3.252,1.21E-03,4.85E-02,-1.31635
ENSG00000197360,ZNF98,-1.58E-01,-2.53E-01,-6.24E-02,1.639,-3.251,1.22E-03,4.86E-02,-1.04309
ENSG00000136717,BIN1,4.47E-02,1.77E-02,7.17E-02,6.886,3.25,1.22E-03,4.87E-02,-1.6099
ENSG00000130287,NCAN,-8.68E-02,-1.39E-01,-3.43E-02,6.544,-3.248,1.23E-03,4.89E-02,-1.59391
ENSG00000172673,THEMIS,-1.18E-01,-1.90E-01,-4.66E-02,3.447,-3.243,1.26E-03,4.97E-02,-1.27173
ENSG00000117318,ID3,-1.22E-01,-1.96E-01,-4.80E-02,3.745,-3.241,1.26E-03,4.97E-02,-1.31684
ENSG00000172575,RASGRP1,-6.01E-02,-9.64E-02,-2.37E-02,6.182,-3.241,1.26E-03,4.97E-02,-1.59453
ENSG00000168827,GFM1,-3.23E-02,-5.19E-02,-1.27E-02,6.504,-3.239,1.27E-03,5.00E-02,-1.6256
ENSG00000083454,P2RX5,9.30E-02,3.66E-02,1.50E-01,1.674,3.238,1.27E-03,5.00E-02,-1.08982
ENSG00000067842,ATP2B3,-4.73E-02,-7.61E-02,-1.86E-02,6.035,-3.235,1.29E-03,5.04E-02,-1.60244
ENSG00000007402,CACNA2D2,-6.08E-02,-9.77E-02,-2.39E-02,3.532,-3.234,1.29E-03,5.04E-02,-1.30009
ENSG00000163793,DNAJC5G,-1.61E-01,-2.59E-01,-6.31E-02,2.46E-01,-3.233,1.30E-03,5.05E-02,-1.11192
ENSG00000135643,KCNMB4,-6.10E-02,-9.81E-02,-2.39E-02,6.992,-3.232,1.30E-03,5.05E-02,-1.6721
ENSG00000018280,SLC11A1,1.38E-01,5.40E-02,2.22E-01,2.035,3.226,1.33E-03,5.15E-02,-1.17164
